2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('79', '', '33', '0', '1', '0', '1', '2015-07-01 22:07:36', '2015-10-01 14:22:51', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('80', '', '33', '0', '1', '0', '1', '2015-07-01 22:07:56', '2015-10-01 14:23:06', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('81', '', '18', '0', '1', '0', '1', '2015-07-01 22:08:18', '2015-10-01 14:25:55', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('82', '', '20', '0', '1', '0', '1', '2015-07-01 22:08:47', '2015-10-01 14:24:58', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('83', '', '73', '0', '1', '0', '1', '2015-07-01 22:42:48', '2015-10-01 14:21:18', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('84', '', '73', '0', '1', '0', '1', '2015-07-01 22:43:16', '2015-10-01 14:21:33', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('85', '', '73', '0', '1', '0', '1', '2015-07-01 22:43:46', '2015-10-01 14:21:29', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('86', '', '74', '0', '1', '0', '1', '2015-07-01 22:44:38', '2015-10-01 14:21:40', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('87', '', '74', '0', '1', '0', '1', '2015-07-01 22:45:13', '2015-10-01 14:21:44', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('88', '', '74', '0', '1', '0', '1', '2015-07-01 22:45:48', '2015-10-01 14:21:47', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('89', '', '72', '0', '1', '0', '1', '2015-07-01 22:47:12', '2015-10-01 14:21:54', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('90', '', '72', '0', '1', '0', '1', '2015-07-01 22:47:42', '2015-10-01 14:22:23', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('91', '', '72', '0', '1', '0', '1', '2015-07-01 22:48:12', '2015-10-01 14:22:29', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('92', '', '75', '0', '1', '0', '1', '2015-07-01 22:49:05', '2015-10-01 14:24:02', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('93', '', '75', '0', '1', '0', '1', '2015-07-01 22:49:45', '2015-10-01 14:24:05', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('94', '', '75', '0', '1', '0', '1', '2015-07-01 22:50:25', '2015-10-01 14:24:08', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('95', '', '76', '0', '1', '0', '1', '2015-07-01 22:51:00', '2015-10-01 14:24:17', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('96', '', '76', '0', '1', '0', '1', '2015-07-01 22:51:39', '2015-10-01 14:24:31', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('97', '', '77', '0', '1', '0', '1', '2015-07-01 22:52:22', '2015-10-01 14:24:51', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('98', '', '76', '0', '1', '0', '1', '2015-07-01 22:53:26', '2015-10-01 14:24:35', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('99', '', '77', '0', '1', '0', '1', '2015-07-01 22:54:14', '2015-10-01 14:24:43', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('100', '', '77', '0', '1', '0', '1', '2015-07-01 22:54:41', '2015-10-01 14:24:47', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('101', '', '78', '0', '1', '0', '1', '2015-07-01 22:55:27', '2015-10-01 14:22:40', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('102', '', '78', '0', '1', '0', '1', '2015-07-01 22:56:03', '2015-10-01 14:22:44', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
